Side,Carry,Club
-9.685015455307243,211.88796565304852,Driver
1.1299740273900023,213.01864103665838,Driver
15.288826637932372,220.16153590054594,Driver
-20.76498597317831,232.3114815633844,Driver
-13.575056990613708,225.2859218242749,Driver
-6.202034948131444,250.44474305492946,Driver
7.921072933611972,237.58611861139306,Driver
-7.66939044988992,245.6884827493794,Driver
-35.89192835961842,221.9476745333618,Driver
0.8240403664931205,223.95836304970643,Driver
24.460648409953127,215.84030995820314,Driver
-2.5941307442252617,232.70630498320534,Driver
-14.955007250686718,217.98167890676046,Driver
-15.822467865080723,230.47696079940457,Driver
10.285484177037079,210.92166821656923,Driver
-3.356116212496549,239.1233274556373,Driver
-21.828760231839112,224.8583605331948,Driver
25.857862765843546,209.62223365000702,Driver
-20.055621152019462,213.27670387439386,Driver
0.515057715153305,225.59193698166644,Driver
20.45816608803607,231.2348533373481,Driver
27.803584918189106,213.4157444406687,Driver
19.30472336349896,220.17328609965307,Driver
-1.9318323689265047,224.79539636573134,Driver
3.129395469476038,209.90988834008624,Driver
-14.652269085293867,234.8806219540325,Driver
8.528592322203219,219.79005812363502,Driver
-22.880406852576478,236.60574968969735,Driver
19.36626255492815,227.7060919950015,Driver
-7.195560365595301,223.20421369472027,Driver
8.156437210536218,188.97631912045463,3-wood
-0.9857730192626633,201.43852216347693,3-wood
15.234802401518758,203.4798009538767,3-wood
-20.358330226912244,207.51374553370147,3-wood
8.31905991837425,193.135240676483,3-wood
-6.263478968995629,210.4010976854448,3-wood
-15.393382887710574,204.8859250840295,3-wood
-0.3135249777491412,203.2520135442317,3-wood
-1.9001774578607498,200.9267225988551,3-wood
-8.894875864192398,209.18619697313562,3-wood
-18.773418073452508,210.04479259028744,3-wood
-7.562163111327187,205.14291404759442,3-wood
5.721495760045426,189.6710422368718,3-wood
-22.212120743673506,212.32695789377027,3-wood
15.686347130824405,212.69904124844646,3-wood
0.0627562514246404,208.28109463125125,3-wood
17.78811248137145,185.27477307430001,3-wood
7.605051061235551,208.03293206352544,3-wood
-3.0781689104419594,197.596093756885,3-wood
8.805552737318452,215.74045671661986,3-wood
7.78061206197921,189.6426494292038,3-wood
0.44382388255301186,194.81425841750206,3-wood
8.131872002961893,206.56678095509702,3-wood
-3.94386877841728,219.30531038082503,3-wood
17.663059770790394,187.63185994465871,3-wood
38.78993175573619,205.44128279250646,3-wood
16.317240864413755,191.31755627833164,3-wood
-14.268283677358664,198.7939276248536,3-wood
9.574243929625094,198.12873366666227,3-wood
-28.41290684578002,201.38985032001887,3-wood
-8.026032645000457,190.499665313933,5-wood
-19.109877609497232,196.3587109651263,5-wood
3.959605417693165,197.4615572520661,5-wood
12.086093034146765,189.4849159866743,5-wood
24.80628809542312,190.0575889130553,5-wood
-9.101059945871508,192.15376672943705,5-wood
-2.2527925500243042,196.7494728649221,5-wood
-14.727681620705653,203.56701614027168,5-wood
10.834837812857668,177.3884169341612,5-wood
-23.397113799271857,194.1545149702784,5-wood
22.846678791474126,194.94152685939068,5-wood
-5.632472219877312,186.58702636889504,5-wood
8.762966472186827,181.3361259006849,5-wood
15.841894413241782,192.81054618863357,5-wood
40.6107698962185,195.27776975388412,5-wood
14.222440027032778,188.26788374063506,5-wood
14.293215683761158,184.08154658303755,5-wood
-3.2927143392791973,205.2831849562148,5-wood
-12.400442538414742,176.75020082417575,5-wood
-13.870579812271709,192.4937131836172,5-wood
6.8888559518467565,172.18855533854205,5-wood
30.13034590720626,195.4048346870056,5-wood
-35.90199591551425,207.44553457425405,5-wood
40.73581101908379,191.50491671598533,5-wood
14.579664098066297,175.6750328466257,5-wood
-9.858162249058172,190.38013940496768,5-wood
-1.4345898541554016,204.85231708184725,5-wood
11.492970962296658,181.8945185465026,5-wood
6.868605638620269,190.4902020297905,5-wood
